side,horizon_minutes,feature_group,head,symbol,folds,threshold_mean,threshold_std,threshold_min,threshold_max,threshold_range,fallback_rate,symbol_specific_rate,test_precision_mean,test_precision_std,test_coverage_mean,stable_threshold
SHORT,30,position_plus_topology_compact_matrix,exit,ETHUSDT,3,0.38333333333333336,0.011785113019775802,0.37500000000000006,0.4000000000000001,0.025000000000000022,0.0,1.0,0.46656880020267993,0.023165086223928082,0.17370533753512477,True
SHORT,30,position_plus_topology_compact_matrix,exit,SOLUSDT,3,0.38333333333333336,0.011785113019775802,0.37500000000000006,0.4000000000000001,0.025000000000000022,0.0,1.0,0.454693833569027,0.016221575566725047,0.2505601420495038,True
SHORT,30,position_plus_topology_compact_matrix,hold,ALL,3,0.37500000000000006,0.054006172486732215,0.3,0.4250000000000001,0.1250000000000001,0.0,0.0,0.41469760227588015,0.02028074664898012,0.42419941775836967,False
SHORT,30,position_plus_topology_compact_matrix,hold,BTCUSDT,3,0.40833333333333344,0.011785113019775802,0.4000000000000001,0.4250000000000001,0.025000000000000022,0.3333333333333333,1.0,0.39354413702239793,0.0217070337041543,0.23131398025015046,True
SHORT,30,position_plus_topology_compact_matrix,hold,ETHUSDT,3,0.37500000000000006,0.054006172486732215,0.3,0.4250000000000001,0.1250000000000001,0.0,1.0,0.43208587015007427,0.029680362889156823,0.4063827553189256,False
SHORT,30,position_plus_topology_compact_matrix,hold,SOLUSDT,3,0.4000000000000001,0.07359800721939878,0.3,0.47500000000000014,0.17500000000000016,0.0,1.0,0.4472479642474245,0.053554064488745085,0.41718981293449375,False
SHORT,60,position_plus_topology,exit,ALL,3,0.4000000000000001,0.03535533905932741,0.35000000000000003,0.4250000000000001,0.07500000000000007,0.0,0.0,0.45002222101484896,0.016709828061062314,0.6165666484815421,True
SHORT,60,position_plus_topology,exit,BTCUSDT,3,0.4333333333333334,0.023570226039551605,0.4000000000000001,0.4500000000000001,0.050000000000000044,0.0,1.0,0.5010185088506746,0.04923235438805775,0.20681942171303871,True
SHORT,60,position_plus_topology,exit,ETHUSDT,3,0.38333333333333336,0.058925565098879015,0.3,0.4250000000000001,0.1250000000000001,0.0,1.0,0.4478487560209452,0.020484318604218045,0.610201854882706,False
SHORT,60,position_plus_topology,exit,SOLUSDT,3,0.3,0.0,0.3,0.3,0.0,0.0,1.0,0.4476268412438625,0.014470035144435161,1.0,True
SHORT,60,position_plus_topology,hold,ALL,3,0.3,0.0,0.3,0.3,0.0,0.0,0.0,0.45556989994167457,0.016149010578767272,0.965139116202946,True
